1girl,1个女孩
star ocean till the end of time,星海直到时间尽头
toon (style),香椿（风格）
ara haan,阿拉汉
bookbag,书包
eva 01,伊娃01
maruyama aya,丸山绫
milla maxwell,米拉麦克斯韦
oomori yuuko,大森优子
post-apocalypse,后启示录
purple gemstone,紫色宝石
speaking tube headset,对讲管耳机
two-handed handjob,双手打手枪
wata do chinkuru,wata do chinkuru
2007,2007年
774 (nanashi),774（七无）
bar stool,酒吧椅子
boxcutter,切箱机
harime nui,哈里梅努伊
hinata hideki,雏田秀机
meka (overwatch),机甲（守望先锋）
momoko (momopoco),桃子
nejiri hachimaki,根尻八卷
yuuki haru,有纪春
band uniform,乐队制服
sakimori dan,咲森团
tengu mask,天狗面具
tumblr username,tumblr 用户名
atago (stunning speedster) (azur lane),爱宕（令人惊叹的极速赛车）（碧蓝航线）
chrom (fire emblem),铬（火徽）
cursor,光标
ibuki (street fighter),ibuki（街头霸王）
joy-con,欢乐骗局
kiku hitomoji,菊一事
kobuichi,小武一
meer campbell,梅尔坎贝尔
senji muramasa (fate),村正千次（命运）
apple inc.,苹果公司。
aqua jacket,水色夹克
beatrix (granblue fantasy),碧翠丝（碧蓝幻想）
bishamonten's spear,比沙蒙顿之矛
capcom fighting jam,卡普空格斗果酱
clothes theft,衣服盗窃
elbows on table,桌子上的肘部
group hug,环抱
hand on headphones,手戴耳机
journey to the west,西游记
natalia (idolmaster),娜塔莉亚（偶像大师）
sugar cube,方糖
udon (shiratama),乌冬面（白玉）
aoba moca,青叶摩卡
nagara (kancolle),长良 (kancolle)
tented shirt,帐篷衬衫
variable fighter,可变战斗机
cephalopod eyes,头足类眼睛
gawain (fate),高文（命运）
kagami mochi,镜麻糬
minamura haruki,水村春树
oekakizuki,大垣月
omikuji,神签
oni-noboru,鬼宣
trish una,翠西娜
year of the dog,狗年
cutout above navel,肚脐上方的切口
eldritch abomination,可怕的憎恶
full metal panic!,全金属恐慌！
iori rinko,伊织临湖
kamitsubaki studio,上木工作室
mole on body,身上长痣
n.g.,吴
note,笔记
redrop,重投
senran kagura new wave,闪乱神乐新浪潮
shampoo (ranma 1/2),洗发水 (ranma 1/2)
takayaki,高烧
tea set,茶具
weightlifting,举重
white sports bra,白色运动胸罩
blue feathers,蓝色羽毛
caitlyn (league of legends),凯特琳（英雄联盟）
dithering,抖动
long neck,长颈
misunderstanding,误解
orange sleeves,橙色袖子
ryoumen sukuna (jujutsu kaisen),ryoumen sukuna（柔术海战）
sora ginko,空银杏
tandohark,坦多哈克
wisespeak,智者说
butterfly brooch,蝴蝶胸针
ene (kagerou project),ene (kagerou 项目)
fishing line,钓鱼线
legband,腿带
mandarin collar,鸳鸯领
massage,按摩
mismatched eyebrows,不匹配的眉毛
mon-musu quest!,梦舞任务！
personality switch,个性开关
pointy nose,尖鼻子
saibou shinkyoku,西兵神曲
sakura oriko,樱花织子
sayagata,早形
shoujo kitou-chuu,少女鬼头中
adjusting panties,调整内裤
cart,大车
matikane tannhauser (umamusume),matikane tannhauser (umamusume)
nipple bar,乳头棒
panties under buruma,buruma 下的内裤
pizza slice,比萨饼薄片
super saiyan 1,超级赛亚人1
wardrobe error,衣柜错误
aki rosenthal,阿基罗森塔尔
em (totsuzen no hakike),em (totsuzen no hakike)
g36 (girls' frontline),g36（女子前线）
hayabusa,隼鸟
humboldt penguin (kemono friends),洪堡企鹅（kemono 朋友）
ini (inunabe00),ini (inunabe00)
rakugaki-biyori,落垣美赖
aqua bra,水蓝色胸罩
colored nipples,彩色的乳头
galo thymos,加洛胸腺
kiritto,基里托
pink cape,粉色斗篷
strike the blood,打血
yumeko (touhou),梦子（东方）
american flag print,美国国旗打印
argyle sweater,菱形毛衣
bb (swimsuit mooncancer) (second ascension) (fate),bb（泳装mooncancer）（第二次提升）（命运）
butter,牛油
dragon quest ii,勇者斗恶龙二
god eater burst,食神爆裂
grand piano,三角钢琴
grey capelet,灰色披肩
hair dryer,电吹风
halcon,哈尔康
holding envelope,拿着信封
inu (aerodog),inu（航空犬）
log horizon,日志视野
mika pikazo,米卡皮卡索
nanaroku (fortress76),七六（fortress76）
naoe riki,直江力
ornament,装饰品
rita mordio,丽塔莫迪奥
rosmontis (arknights),罗斯蒙蒂斯（方舟之夜）
senkawa chihiro,千川千寻
sol badguy,溶胶坏蛋
super real mahjong,超级真实的麻将
upturned eyes,上翘的眼睛
zeon,吉翁
animal on arm,手臂上的动物
blue border,蓝色边框
chin strap,下巴带
fatal frame,核心架构
keep out,避开
kurou (quadruple zero),kurou（四个零）
lisbeth,莉丝贝丝
multicolored footwear,多彩多姿的鞋类
nelson (kancolle),纳尔逊（坎科尔）
pink border,粉红色边框
double fox shadow puppet,双狐皮影
jigoku shoujo,jigoku shoujo
kanabun,卡那文
kopaka (karda nui),科帕卡 (karda nui)
lizard,蜥蜴
m200 (girls' frontline),m200（少女前线）
mikakunin de shinkoukei,神光经
mk (mod0),mk (mod 0)
momiji mao,红叶毛
zheng,zheng
abigail williams (swimsuit foreigner) (third ascension) (fate),阿比盖尔·威廉姆斯（泳装老外）（第三次提升）（命运）
feater (arknights),羽毛（方舟）
floating cape,漂浮斗篷
futari wa precure splash star,futari wa precure 飞溅星
juice,果汁
kasuga yukihito,春日幸人
kurokoshou (emuburemu123),黑工庄 (emuburemu123)
pegasus,飞马座
platelet (hataraku saibou),血小板（hataraku saibou）
sephiroth,源质
taokaka,淘卡卡
white day,白色情人节
blood in hair,头发上有血
cheek pull,脸颊拉
gokkun,古坤
gokotai,五哥台
heart collar,心形项圈
kotoba noriaki,言叶典明
pegasus knight uniform (fire emblem),天马骑士制服（火焰纹章）
ryusei hashida,桥田流星
yuudachi (azur lane),yuudachi（碧蓝航线）
japan,日本
seat,座位
sorimachi-doufu,反町豆腐
toaru majutsu no index: new testament,toaru majutsu no index：新约
jacket pull,夹克拉力
kawakami rokkaku,川上六角
kawata hisashi,河田久
kido tsubomi,木户坪美
mummy,木乃伊
photorealistic,写实
polka dot shirt,波点衬衫
prostration,虚脱
pyra (pro swimmer) (xenoblade),pyra（职业游泳运动员）（异刃）
beetle,甲虫
ear wiggle,耳朵摆动
erubo,埃鲁博
kamisato ayato,上里绫人
korra,科拉
live a hero,活成英雄
manya (dq4),马尼亚（dq4）
nintendo 3ds,任天堂3ds
pagoda,宝塔
shaking,摇晃
shashaki,沙沙基
behind back,背后
dead master,死去的主人
haimura kiyotaka,灰村清隆
lipgloss,唇彩
roon (azur lane),鲁恩（碧蓝航线）
saki chisuzu,咲千铃
shokudaikiri mitsutada,食大切光忠
ameyama denshin,雨山传心
bazett fraga mcremitz,巴泽特弗拉加麦克雷米茨
calem (pokemon),卡莱姆（口袋妖怪）
clown,小丑
clumsy nun (diva),笨拙的修女（女主角）
floating scarf,漂浮围巾
flower bracelet,花手链
hand mirror,手镜
holomyth,完整的神话
jeanne d'arc (swimsuit archer) (first ascension) (fate),jeanne d'arc（泳装弓箭手）（第一次升天）（命运）
kairi (kingdom hearts),凯里（王国之心）
michael f91,迈克尔 f91
onsoku inu,知足犬
pet,宠物
plume,羽
regina (dokidoki! precure),里贾纳（dokidoki！预治疗）
seki (red shine),seki（红色光芒）
shinano (azur lane),信浓（碧蓝航线）
shoukaku (azur lane),shoukaku（碧蓝航线）
ssss.dynazenon,ssss.dynazenon
world cup,世界杯
y'shtola rhul,y'shtola rhul
yellow cape,黄色斗篷
lap pillow invitation,膝枕邀请函
mami mogu mogu,妈妈慢慢慢慢
mifune miyu,三船美优
the king of fighters xv,格斗之王十五
whoosaku,大作
breast cutout,乳房切口
pinstripe shirt,细条纹衬衫
popped button,弹出按钮
pumpkin hair ornament,南瓜头饰
rena erindel,雷纳·埃林德尔
sailor saturn,水手土星
winding key,上弦键
yuuki juudai,优树十代
curren chan (umamusume),curren chan (umamusume)
height chart,身高图
kimmy77,kimmy77
messy room,房间很乱
miyase mahiro,宫濑真弘
okazaki tomoya,冈崎友也
soviet,苏联
clock eyes,钟眼
fish boy,鱼男孩
gerudo,格鲁多
levitation,悬浮
mossacannibalis,莫萨尼巴利斯
okita sougo,冲田总后
pixiv fantasia t,pixiv 幻想曲
pokemon emerald,口袋妖怪翡翠
print mug,印刷杯
sakimori (hououbds),sakimori (hououbds)
sousou (sousouworks),苏苏（苏苏作品）
spiked choker,尖刺项圈
subterranean animism,地下万物有灵论
toe ring,脚趾环
tomimi (arknights),托米米（方舟之夜）
head on chest,头靠在胸前
mount fuji,富士山
splattershot (splatoon),splattershot (splatoon)
tight dress,紧身连衣裙
torture,折磨
yamu (reverse noise),yamu（反向噪音）
ferret,雪貂
game boy,掌上游戏机
ingrid brandl galatea,英格丽德·布兰德尔·加拉泰
nigou,泥狗
shimmer,微光
shinapuu,希纳普
beam,光束
cloth,布
ear protection,护耳
frilled leotard,褶边紧身衣
hirose koichi,广濑光一
hungry,饥饿的
kaine (nier),凯恩（尼尔）
radish,萝卜
sekaiju no meikyuu 1,世界树的明休 1
diesel-turbo,柴油涡轮
huyumitsu,护光
kogitsunemaru,小月丸
latex legwear,乳胶裤袜
natori (kancolle),名取（kancolle）
niliu chahui,泥流茶会
orange skin,橙色皮肤
pectoral focus,胸焦点
tofuubear,豆腐
wizard,向导
agent aika,艾卡特工
agrias oaks,酸橡树
book hug,书拥抱
cardigan around waist,腰间开衫
carmilla (fate),卡米拉（命运）
cluseller,集群者
dock,码头
drag-on dragoon,龙龙
eirika (fire emblem),艾瑞卡（火徽）
flower over eye,眼睛上的花
forced orgasm,强迫性高潮
ghost costume,鬼装
ichikawa hinana,市川雏名
ivy,常春藤
jetpack,喷气背包
mary (ib),玛丽 (ib)
minotaur,牛头怪
mummy costume,木乃伊服装
numbers (nanoha),数字（纳叶）
puppy,小狗
sajo yukimi,佐条雪见
sitting backwards,向后坐
small-clawed otter (kemono friends),小爪水獭（kemono 朋友）
swire (arknights),太古（方舟之夜）
wakan tanka,瓦坎短歌
master 3 (housamo),大师 3 (housamo)
mikko (girls und panzer),mikko（少女与装甲）
pneuma (xenoblade),气（异种刀）
pokemon sv,宠物小精灵
pokoten (pokoten718),pokoten (pokoten718)
purple horns,紫色的角
ring gag,堵嘴
sauna,桑拿
tsuji santa,辻圣诞老人
body armor,身体护具
dialogue box,对话框
dragon ball super broly,龙珠超布罗利
holding bucket,拿着桶
joy ride,欢乐之旅
kuzuryuu kennosuke,九头龙剑之助
logo parody,标志模仿
minato ojitan,凑小事
okobo,奥科博
taihou (forbidden feast) (azur lane),太后（禁宴）（碧蓝航线）
tsukumo (soar99),tsukumo (soar99)
youjo senki,尤条战记
lavinia whateley (fate),拉维尼娅·沃特利（命运）
meltryllis (swimsuit lancer) (second ascension) (fate),Meltryllis（泳装枪手）（第二次提升）（命运）
mikan (chipstar182),迈肯 (chipstar182)
seijun,清纯
sleeve grab,袖抓
steak,牛扒
strapless bottom,露肩底
bear tail,熊尾巴
crowbar,撬棍
diving,潜水
osiimi,奥西米
pixiv fantasia fallen kings,pixiv幻想曲堕落的国王
pov across table,跨桌子的 pov
satanichia kurumizawa mcdowell,久留泽·麦克道威尔撒旦
sickle,镰刀
thick lips,厚嘴唇
tokyo revengers,东京复仇者
battleship,战舰
cream on face,脸上的奶油
crescent print,新月打印
dog penis,狗阴茎
green sclera,绿色巩膜
gunblade,枪刃
kuki shinobu,久木忍
neck tassel,颈部流苏
nitocris (swimsuit assassin) (fate),nitocris（泳装刺客）（命运）
oonusa,欧努萨
acerola (pokemon),针叶樱桃（口袋妖怪）
akaboshi koume,赤星小梅
ammunition pouch,弹药袋
charlotte (anime),夏洛特（动漫）
cure heart,治心
gate - jieitai ka no chi nite kaku tatakaeri,门 - jieitai ka no chi nite kaku tatakaeri
inami mahiru,伊波真昼
kuro suto sukii,黑须藤 sukii
nogi takayoshi,乃木孝义
pekeko (pepekekeko),pekeko (pepekekeko)
vsinger,歌手
white sarong,白纱笼
yamamura sadako,山村贞子
9law,9法律
blue sarong,蓝色围裙
en'en no shouboutai,恩恩没有手不泰
helltaker (character),地狱猎手（角色）
holding ladle,拿着勺子
mast,桅杆
setsuna f. seiei,setsuna f. seiei
shin (new),新（新）
st. louis (luxurious wheels) (azur lane),英石。路易斯（豪华车轮）（蔚蓝车道）
white rabbit (alice in wonderland),白兔（爱丽丝梦游仙境）
wrong feet,错误的脚
cure rhythm,治愈节奏
hanami,花见
ingo (pokemon),英戈（口袋妖怪）
noble witches,高贵的女巫
tennouji rina,天王寺里奈
ad,广告
air groove (umamusume),气沟（umamusume）
curiosities of lotus asia,莲花亚洲的好奇心
filia (skullgirls),filia（骷髅女孩）
french flag,法国国旗
isobe noriko,矶部纪子
kiwi (fruit),奇异果）
marumikan,丸海馆
mudou eichi,木豆英一
oshino ougi,大野扇
track uniform,田径服
vane (granblue fantasy),风向标（碧蓝幻想）
wooden chair,木椅
hori (hori no su),堀（堀之苏）
iori (blue archive),iori（蓝色档案）
keizoku school uniform,京师校服
mitre,斜接
model kit,模型套件
nearl (arknights),近（方舟之夜）
pussy juice drip through clothes,猫汁滴穿衣服
rune factory,符文工厂
dragon boy,龙童
dress swimsuit,连身裙
elizabeth bathory (first ascension) (fate),伊丽莎白巴托里（第一次升天）（命运）
haruno haruka,春野遥
kazami yuuka (pc-98),风见优香 (pc-98)
maid day,女仆日
meta knight,元骑士
naomi (girls und panzer),娜奥米（少女与装甲）
polka dot ribbon,圆点丝带
sonia nevermind,索尼娅没关系
40hara,40原
braixen,布雷克森
buster sword,破坏剑
extra faces,额外的面孔
implied fellatio,暗示口交
inazuma eleven go galaxy,闪电十一人去银河
kishida shiki,岸田式
me-tan,美坦
moyoron,莫约龙
nikka edvardine katajainen,尼卡·艾德瓦丁·卡塔加宁
skull necklace,骷髅项链
super creek (umamusume),超级小溪 (umamusume)
berry (pokemon),浆果（口袋妖怪）
elesis (elsword),elesis（艾斯之剑）
flower necklace,花项链
fujisaki hikari,藤崎光
muririn,穆里林
paul bunyan (fate),保罗·班扬（命运）
rou-kyuu-bu!,柔奎布！
shared object insertion,共享对象插入
sirius (scorching-hot seirios) (azur lane),Sirius (Scorching-Hot Seirios) (Blue Lane)
solid circle pupils,实心圆瞳孔
tears of themis,忒弥斯的眼泪
toudou yurika,豆豆百合香
belldandy,贝尔丹迪
bikini shorts,比基尼短裤
enemy naval mine (kancolle),敌方水雷（kancolle）
infinity,无穷
jockstrap,背带
kikuzuki (kancolle),菊月 (kancolle)
knotted penis,打结的阴茎
kojima saya,小岛沙耶
lina inverse,丽娜逆
mash kyrielight (swimsuit of perpetual summer),mash kyrielight（永夏泳装）
nora higuma,日熊诺拉
t2r,t2r
cleave gag,解开堵嘴
culter,培养
eunectes (arknights),eunectes（方舟之夜）
food-themed earrings,以食物为主题的耳环
hitodama print,一玉打印
kariya masaki,刈谷正树
mother 3,母亲 3
rei no pool,rei没有游泳池
sf-a2 miki,sf-a2 三木
throwing knife,飞刀
x-shaped pupils,X形瞳孔
yuigaoka school uniform,由高冈校服
ancesra,祖先
boushi-ya,布施屋
box of chocolates,盒装的巧克力
evil,邪恶的
hagoromo lala,羽衣啦啦
jill stingray,吉尔黄貂鱼
seal (animal),海豹（动物）
star tattoo,明星纹身
clothesline,晾衣绳
eye black,眼睛黑色
mmm threesome,嗯 三人行
nikaidou saki,二阶堂咲
silver dress,银色连衣裙
swordsouls,剑魂
testicle grab,睾丸抓取
alolan vulpix,阿罗兰狐狸
caliburn (fate),卡本（命运）
cross-laced legwear,交叉系带裤
eretto,埃雷托
head on hand,头在手上
himajin noizu,喜人野豆
hoshino ruri,星野琉璃
hunter (bloodborne),猎人（血源）
isolated island oni,孤岛鬼
kotobuki (tiny life),寿（小生命）
lowleg skirt,低筒裙
